순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
620,그랑프리,양윤호,(주)네버엔딩스토리,,(주)싸이더스,2010/09/16,개봉영화,장편,한국,235,"1,241,827,441","170,446","379,100,000","48,666",드라마,12세이상관람가,일반영화
621,대배우,석민우,주식회사 영화사다,,"(주)대명문화공장,(주)리틀빅픽쳐스",2016/03/30,개봉영화,장편,한국,474,"1,245,426,228","169,855","337,587,528","44,595",코미디,12세이상관람가,일반영화
622,노리개,최승호,주식회사 마운틴픽쳐스,,(주)인벤트스톤,2013/04/18,개봉영화,장편,한국,278,"1,229,574,500","169,054","371,215,500","48,830",드라마,청소년관람불가,일반영화
623,나는 아빠다,"전만배,이세영",㈜기억속의매미,,롯데쇼핑㈜롯데엔터테인먼트,2011/04/14,개봉영화,장편,한국,300,"1,246,420,500","168,049","364,430,500","47,282",액션,청소년관람불가,일반영화
624,진범,고정욱,"(주)곰픽쳐스,(주)트러스트스튜디오",,(주)리틀빅픽쳐스,2019/07/10,개봉영화,장편,한국,224,"1,424,601,000","167,333","298,936,100","34,223",스릴러,15세이상관람가,일반영화
625,비밀애,"류훈,권지연","(주)한컴,(주)코난픽쳐스",,(주)시너지하우스 (시너지),2010/03/25,개봉영화,장편,한국,275,"1,227,023,002","167,132","417,641,000","53,814",멜로/로맨스,청소년관람불가,일반영화
626,김복남 살인사건의 전말,장철수,"(주)필마픽쳐스 ,(주)토리픽쳐스",,(주)스폰지이엔티,2010/09/02,개봉영화,장편,한국,107,"1,272,487,471","164,450","471,480,200","58,738",스릴러,청소년관람불가,독립/예술영화
627,무법자,김철한,청강스토리㈜,,(주)넥스트엔터테인먼트월드(NEW),2010/03/18,개봉영화,장편,한국,192,"1,241,201,107","163,334","284,829,000","34,920",드라마,청소년관람불가,일반영화
628,부산,박지원,(주)오죤필름,,(주)싸이더스,2009/10/15,개봉영화,장편,한국,204,"1,185,994,280","160,741","283,830,500","36,192",액션,청소년관람불가,일반영화
629,회복,김종철,"(주)더피셔엔터테인먼트,㈜스토리셋",,(주)스폰지이엔티,2010/01/14,개봉영화,장편,한국,2,"1,128,545,852","157,793","505,918,500","66,450",다큐멘터리,12세이상관람가,독립/예술영화
630,최강전사 미니특공대 : 새로운 악당의 습격,이영준,(주)삼지애니메이션,,에이원엔터테인먼트,2015/02/05,개봉영화,장편,한국,318,"1,163,431,200","154,342","220,766,300","27,906",애니메이션,전체관람가,일반영화
631,달빛궁궐,김현주,"스튜디오홀호리(주),(주)콘텐츠판다",,(주)넥스트엔터테인먼트월드(NEW),2016/09/07,개봉영화,장편,한국,425,"1,134,639,700","151,360","258,859,700","31,822",애니메이션,전체관람가,일반영화
632,로맨틱 아일랜드,강철우,㈜스토리팩토리,,실버스푼,2008/12/24,개봉영화,장편,한국,208,"1,002,069,212","150,401","363,551,000","51,505",멜로/로맨스,15세이상관람가,일반영화
633,비정규직 특수요원,김덕수,"(주)스톰픽쳐스코리아,컴퍼니에이이엔티(주)",,"(주)이수C&E,(주)스톰픽쳐스코리아",2017/03/16,개봉영화,장편,한국,497,"1,150,732,700","149,719","244,094,600","30,726",코미디,15세이상관람가,일반영화
634,워킹걸,정범식,"(주)홍필름,(주)수필름",,메가박스중앙(주)플러스엠,2015/01/07,개봉영화,장편,한국,308,"1,183,887,479","149,181","389,163,479","49,874",코미디,청소년관람불가,일반영화
635,서울역,연상호,"주식회사 다다쇼,(주)화인컷",,(주)넥스트엔터테인먼트월드(NEW),2016/08/17,개봉영화,장편,한국,440,"1,157,200,562","146,548","364,877,762","44,396",애니메이션,15세이상관람가,독립/예술영화
636,웨딩드레스,권형진,"(주)로드픽쳐스,(주)인벤트스톤",,(주)싸이더스,2010/01/14,개봉영화,장편,한국,183,"1,014,636,235","146,148","219,105,000","29,532",드라마,전체관람가,일반영화
637,천년학,임권택,영화사키노투(주),,(주)프라임엔터테인먼트,2007/04/12,개봉영화,장편,한국,0,0,"145,271",0,"62,146",드라마,12세이상관람가,독립/예술영화
638,펜트하우스 코끼리,정승구,엘레비젼,,(주)시너지하우스 (시너지),2009/11/05,개봉영화,장편,한국,240,"1,087,284,273","144,070","352,505,500","44,241",드라마,청소년관람불가,일반영화
639,지슬 - 끝나지 않은 세월2,오멸,"주식회사 자파리필름,설문대영상",,(주)영화사 진진,2013/03/21,개봉영화,장편,한국,81,"984,416,100","143,490","450,875,600","61,257",드라마,15세이상관람가,독립/예술영화
640,은밀한 유혹,윤재구,"(주)영화사비단길,(주)수필름",,씨제이이앤엠(주),2015/06/04,개봉영화,장편,한국,394,"1,112,423,247","142,405","353,352,647","43,475",멜로/로맨스,15세이상관람가,일반영화
641,키친,홍지영,(주)수필름,,실버스푼,2009/02/05,개봉영화,장편,한국,179,"939,320,372","142,336","394,993,100","56,559",멜로/로맨스,15세이상관람가,일반영화
642,가시,김태균,"(주)캠프비,(주)뱅가드스튜디오",,(주)인벤트스톤,2014/04/10,개봉영화,장편,한국,356,"1,094,017,000","141,956","295,827,600","36,552",멜로/로맨스,청소년관람불가,일반영화
643,극장판 또봇: 로봇군단의 습격,"이달,고동우",레트로봇 주식회사,,씨제이이앤엠(주),2017/04/27,개봉영화,장편,한국,231,"1,089,135,300","141,592","214,935,500","27,208",애니메이션,전체관람가,일반영화
644,나를 기억해,이한욱,(주)오아시스이엔티,,씨네그루(주)키다리이엔티,2018/04/19,개봉영화,장편,한국,545,"1,227,953,892","140,849","289,799,692","32,322",미스터리,청소년관람불가,일반영화
