영화명,감독,배급사,개봉일,국적,전국 매출액,장르,등급,배우
표적,창,씨제이이앤엠(주),2014/04/30,한국,"22,256,359,300",액션,15세이상관람가,0
너의 결혼식,이석근,메가박스중앙(주)플러스엠,2018/08/22,한국,"23,670,604,369",멜로/로맨스,12세이상관람가,박보영
말모이,엄유나,롯데컬처웍스(주)롯데엔터테인먼트,2019/01/09,한국,"23,682,638,520",드라마,12세이상관람가,유해진
부당거래,류승완,씨제이엔터테인먼트,2010/10/28,한국,"21,326,977,937",범죄,청소년관람불가,황정민
1번가의 기적,윤제균,씨제이엔터테인먼트,2007/02/14,한국,0,드라마,15세이상관람가,임창정
시라노; 연애조작단,김현석,롯데쇼핑㈜롯데엔터테인먼트,2010/09/16,한국,"20,171,151,599",멜로/로맨스,12세이상관람가,엄태웅
내가 살인범이다,정병길,(주)쇼박스,2012/11/08,한국,"20,338,948,000",액션,청소년관람불가,정재영
곤지암,정범식,(주)쇼박스,2018/03/28,한국,"21,442,114,144",공포(호러),15세이상관람가,위하준
소원,이준익,롯데쇼핑㈜롯데엔터테인먼트,2013/10/02,한국,"18,251,983,100",드라마,12세이상관람가,설경구
살인자의 기억법,원신연,(주)쇼박스,2017/09/06,한국,"21,361,479,492",범죄,15세이상관람가,설경구
탐정 : 더 비기닝,김정훈,씨제이이앤엠(주),2015/09/24,한국,"20,463,956,973",코미디,15세이상관람가,권상우
후궁 : 제왕의 첩,김대승,롯데쇼핑㈜롯데엔터테인먼트,2012/06/06,한국,"19,250,354,500",사극,청소년관람불가,조여정
지금 만나러 갑니다,이장훈,롯데쇼핑㈜롯데엔터테인먼트,2018/03/14,한국,"20,800,916,128",멜로/로맨스,12세이상관람가,소지섭
위험한 상견례,김진영,롯데쇼핑㈜롯데엔터테인먼트,2011/03/31,한국,"19,174,920,500",코미디,12세이상관람가,송새벽
아수라,김성수,씨제이이앤엠(주),2016/09/28,한국,"20,576,226,662",범죄,청소년관람불가,정우성
굿모닝 프레지던트,장진,씨제이엔터테인먼트,2009/10/22,한국,"18,770,889,320",코미디,전체관람가,이순재
보안관,김형주,롯데쇼핑㈜롯데엔터테인먼트,2017/05/03,한국,"20,697,532,509",범죄,15세이상관람가,이성민
기술자들,김홍선,롯데쇼핑㈜롯데엔터테인먼트,2014/12/24,한국,"19,894,297,783",범죄,15세이상관람가,김우빈
목격자,조규장,(주)넥스트엔터테인먼트월드(NEW),2018/08/15,한국,"21,732,042,597",스릴러,15세이상관람가,이성민
증인,이한,롯데컬처웍스(주)롯데엔터테인먼트,2019/02/13,한국,"20,312,348,931",드라마,12세이상관람가,정우성
조작된 도시,박광현,씨제이이앤엠(주),2017/02/09,한국,"20,119,979,587",범죄,15세이상관람가,지창욱
반창꼬,정기훈,(주)넥스트엔터테인먼트월드(NEW),2012/12/19,한국,"17,883,988,787",멜로/로맨스,15세이상관람가,고수
화차,변영주,필라멘트픽쳐스,2012/03/08,한국,"18,450,760,000",미스터리,15세이상관람가,이선균
이웃사람,김휘,롯데쇼핑㈜롯데엔터테인먼트,2012/08/22,한국,"18,087,442,369",스릴러,청소년관람불가,김윤진
조선명탐정: 흡혈괴마의 비밀,김석윤,(주)쇼박스,2018/02/08,한국,"19,690,818,764",사극,12세이상관람가,김명민
재심,김태윤,"오퍼스픽쳐스(유),CGV아트하우스",2017/02/15,한국,"19,263,100,637",드라마,15세이상관람가,정우
사바하,장재현,씨제이이앤엠(주),2019/02/20,한국,"20,002,183,194",미스터리,15세이상관람가,이정재
의뢰인,손영성,(주)쇼박스,2011/09/29,한국,"17,797,042,500",스릴러,15세이상관람가,하정우
화이: 괴물을 삼킨 아이,장준환,(주)쇼박스,2013/10/09,한국,"17,678,676,795",액션,청소년관람불가,김윤석
가문의 영광4 - 가문의 수난,정태원,(주)넥스트엔터테인먼트월드(NEW),2011/09/07,한국,"17,762,035,500",코미디,15세이상관람가,0
블라인드,안상훈,(주)넥스트엔터테인먼트월드(NEW),2011/08/10,한국,"18,361,430,500",스릴러,청소년관람불가,김하늘
박열,이준익,메가박스중앙(주)플러스엠,2017/06/28,한국,"18,093,543,795",드라마,12세이상관람가,이제훈
미인도,전윤수,씨제이엔터테인먼트,2008/11/13,한국,"15,531,621,371",사극,청소년관람불가,김규리
라스트 갓파더,심형래,씨제이엔터테인먼트,2010/12/29,한국,"16,832,542,997",코미디,12세이상관람가,<b>심형래</b>
하녀,임상수,(주)싸이더스,2010/05/13,한국,"17,310,669,976",스릴러,청소년관람불가,전도연
극락도 살인사건,김한민,"(주)엠케이픽처스 ,(주)두엔터테인먼트",2007/04/12,한국,0,공포(호러),15세이상관람가,박해일
박쥐,박찬욱,씨제이엔터테인먼트,2009/04/30,한국,"15,051,788,827",공포(호러),청소년관람불가,송강호
7광구,김지훈,씨제이이앤엠(주),2011/08/04,한국,"19,314,027,000",SF,15세이상관람가,하지원
마당을 나온 암탉,"오성윤,민성아",롯데쇼핑㈜롯데엔터테인먼트,2011/07/28,한국,"14,656,535,500",애니메이션,전체관람가,0
악의 연대기,백운학,씨제이이앤엠(주),2015/05/14,한국,"17,360,123,332",스릴러,15세이상관람가,손현주
강남 1970,유하,(주)쇼박스,2015/01/21,한국,"17,717,971,499",액션,청소년관람불가,이민호
바르게 살자,라희찬,씨제이엔터테인먼트,2007/10/18,한국,0,코미디,15세이상관람가,정재영
황해,나홍진,"(주)쇼박스,이십세기폭스코리아(주)",2010/12/22,한국,"16,765,970,362",스릴러,청소년관람불가,하정우
초능력자,김민석,(주)넥스트엔터테인먼트월드(NEW),2010/11/10,한국,"15,618,440,958",SF,15세이상관람가,강동원
